region,date,voc,total
New Brunswick,2021-04-26,gamma,0
Newfoundland and Labrador,2021-04-26,gamma,0
Northwest Territories,2021-04-26,gamma,0
Nova Scotia,2021-04-26,gamma,1
Nunavut,2021-04-26,gamma,0
Ontario,2021-04-26,gamma,347
Prince Edward Island,2021-04-26,gamma,0
Quebec,2021-04-26,gamma,24
Saskatchewan,2021-04-26,gamma,5
Yukon,2021-04-26,gamma,1
Canada,2021-04-26,gamma,3152
Alberta,2021-05-03,alpha,31541
British Columbia,2021-05-03,alpha,4039
Manitoba,2021-05-03,alpha,1441
New Brunswick,2021-05-03,alpha,180
Newfoundland and Labrador,2021-05-03,alpha,187
Northwest Territories,2021-05-03,alpha,6
Nova Scotia,2021-05-03,alpha,73
Nunavut,2021-05-03,alpha,21
Ontario,2021-05-03,alpha,72313
Prince Edward Island,2021-05-03,alpha,13
Quebec,2021-05-03,alpha,3709
Saskatchewan,2021-05-03,alpha,2491
Yukon,2021-05-03,alpha,1
Canada,2021-05-03,alpha,116015
Alberta,2021-05-03,beta,106
British Columbia,2021-05-03,beta,76
Manitoba,2021-05-03,beta,20
New Brunswick,2021-05-03,beta,4
Newfoundland and Labrador,2021-05-03,beta,6
Northwest Territories,2021-05-03,beta,0
Nova Scotia,2021-05-03,beta,12
Nunavut,2021-05-03,beta,0
Ontario,2021-05-03,beta,291
Prince Edward Island,2021-05-03,beta,0
Quebec,2021-05-03,beta,189
Saskatchewan,2021-05-03,beta,9
Yukon,2021-05-03,beta,0
Canada,2021-05-03,beta,713
Alberta,2021-05-03,gamma,1466
British Columbia,2021-05-03,gamma,2063
Manitoba,2021-05-03,gamma,10
New Brunswick,2021-05-03,gamma,0
Newfoundland and Labrador,2021-05-03,gamma,1
Northwest Territories,2021-05-03,gamma,0
Nova Scotia,2021-05-03,gamma,1
Nunavut,2021-05-03,gamma,0
Ontario,2021-05-03,gamma,875
Prince Edward Island,2021-05-03,gamma,0
Quebec,2021-05-03,gamma,30
Saskatchewan,2021-05-03,gamma,22
Yukon,2021-05-03,gamma,1
Canada,2021-05-03,gamma,4469
Alberta,2021-05-10,alpha,36335
British Columbia,2021-05-10,alpha,4039
Manitoba,2021-05-10,alpha,2080
New Brunswick,2021-05-10,alpha,180
Newfoundland and Labrador,2021-05-10,alpha,187
Northwest Territories,2021-05-10,alpha,16
Nova Scotia,2021-05-10,alpha,73
Nunavut,2021-05-10,alpha,21
Ontario,2021-05-10,alpha,91624
Prince Edward Island,2021-05-10,alpha,15
Quebec,2021-05-10,alpha,4229
Saskatchewan,2021-05-10,alpha,3288
Yukon,2021-05-10,alpha,2
Canada,2021-05-10,alpha,142089
Alberta,2021-05-10,beta,129
British Columbia,2021-05-10,beta,76
Manitoba,2021-05-10,beta,23
New Brunswick,2021-05-10,beta,4
Newfoundland and Labrador,2021-05-10,beta,6
Northwest Territories,2021-05-10,beta,0
Nova Scotia,2021-05-10,beta,12
Nunavut,2021-05-10,beta,0
Ontario,2021-05-10,beta,400
Prince Edward Island,2021-05-10,beta,0
Quebec,2021-05-10,beta,217
Saskatchewan,2021-05-10,beta,9
Yukon,2021-05-10,beta,0
Canada,2021-05-10,beta,876
Alberta,2021-05-10,gamma,2155
British Columbia,2021-05-10,gamma,2063
Manitoba,2021-05-10,gamma,20
New Brunswick,2021-05-10,gamma,1
Newfoundland and Labrador,2021-05-10,gamma,1
Northwest Territories,2021-05-10,gamma,0
Nova Scotia,2021-05-10,gamma,1
Nunavut,2021-05-10,gamma,0
Ontario,2021-05-10,gamma,1229
Prince Edward Island,2021-05-10,gamma,0
Quebec,2021-05-10,gamma,62
Saskatchewan,2021-05-10,gamma,47
Yukon,2021-05-10,gamma,1
Canada,2021-05-10,gamma,5580
Alberta,2021-05-17,alpha,38720
British Columbia,2021-05-17,alpha,6348
Manitoba,2021-05-17,alpha,3058
New Brunswick,2021-05-17,alpha,180
Newfoundland and Labrador,2021-05-17,alpha,187
Northwest Territories,2021-05-17,alpha,26
Nova Scotia,2021-05-17,alpha,73
Nunavut,2021-05-17,alpha,21
Ontario,2021-05-17,alpha,107541
Prince Edward Island,2021-05-17,alpha,15
Quebec,2021-05-17,alpha,5237
Saskatchewan,2021-05-17,alpha,4341
Yukon,2021-05-17,alpha,2
Canada,2021-05-17,alpha,165749
Alberta,2021-05-17,beta,136
British Columbia,2021-05-17,beta,109
Manitoba,2021-05-17,beta,28
New Brunswick,2021-05-17,beta,4
Newfoundland and Labrador,2021-05-17,beta,6
Northwest Territories,2021-05-17,beta,0
Nova Scotia,2021-05-17,beta,12
Nunavut,2021-05-17,beta,0
Ontario,2021-05-17,beta,677
Prince Edward Island,2021-05-17,beta,0
Quebec,2021-05-17,beta,312
Saskatchewan,2021-05-17,beta,10
Yukon,2021-05-17,beta,0
Canada,2021-05-17,beta,1294
Alberta,2021-05-17,gamma,2287
British Columbia,2021-05-17,gamma,4427
Manitoba,2021-05-17,gamma,57
New Brunswick,2021-05-17,gamma,1
Newfoundland and Labrador,2021-05-17,gamma,1
Northwest Territories,2021-05-17,gamma,0
Nova Scotia,2021-05-17,gamma,1
Nunavut,2021-05-17,gamma,0
Ontario,2021-05-17,gamma,1983
Prince Edward Island,2021-05-17,gamma,0
Quebec,2021-05-17,gamma,251
Saskatchewan,2021-05-17,gamma,87
Yukon,2021-05-17,gamma,1
Canada,2021-05-17,gamma,9096
Alberta,2021-05-24,alpha,40729
British Columbia,2021-05-24,alpha,7289
Manitoba,2021-05-24,alpha,3944
New Brunswick,2021-05-24,alpha,180
Newfoundland and Labrador,2021-05-24,alpha,187
Northwest Territories,2021-05-24,alpha,26
Nova Scotia,2021-05-24,alpha,73
Nunavut,2021-05-24,alpha,21
Ontario,2021-05-24,alpha,117941
Prince Edward Island,2021-05-24,alpha,19
Quebec,2021-05-24,alpha,5749
Saskatchewan,2021-05-24,alpha,5273
Yukon,2021-05-24,alpha,2
Canada,2021-05-24,alpha,181433
Alberta,2021-05-24,beta,147
British Columbia,2021-05-24,beta,118
Manitoba,2021-05-24,beta,29
New Brunswick,2021-05-24,beta,4
Newfoundland and Labrador,2021-05-24,beta,6
Northwest Territories,2021-05-24,beta,0
Nova Scotia,2021-05-24,beta,12
Nunavut,2021-05-24,beta,0
Ontario,2021-05-24,beta,805
Prince Edward Island,2021-05-24,beta,0
Quebec,2021-05-24,beta,338
Saskatchewan,2021-05-24,beta,10
Yukon,2021-05-24,beta,0
Canada,2021-05-24,beta,1469
Alberta,2021-05-24,gamma,2434
British Columbia,2021-05-24,gamma,5008
Manitoba,2021-05-24,gamma,85
New Brunswick,2021-05-24,gamma,1
Newfoundland and Labrador,2021-05-24,gamma,1
Northwest Territories,2021-05-24,gamma,0
Nova Scotia,2021-05-24,gamma,1
Nunavut,2021-05-24,gamma,0
Ontario,2021-05-24,gamma,2405
Prince Edward Island,2021-05-24,gamma,0
Quebec,2021-05-24,gamma,289
Saskatchewan,2021-05-24,gamma,124
Yukon,2021-05-24,gamma,1
Canada,2021-05-24,gamma,10349
Alberta,2021-05-31,alpha,42311
British Columbia,2021-05-31,alpha,8015
Manitoba,2021-05-31,alpha,4651
New Brunswick,2021-05-31,alpha,180
Newfoundland and Labrador,2021-05-31,alpha,187
Northwest Territories,2021-05-31,alpha,26
Nova Scotia,2021-05-31,alpha,73
Nunavut,2021-05-31,alpha,21
Ontario,2021-05-31,alpha,125035
Prince Edward Island,2021-05-31,alpha,19
Quebec,2021-05-31,alpha,6420
Saskatchewan,2021-05-31,alpha,5529
Yukon,2021-05-31,alpha,2
Canada,2021-05-31,alpha,192469
Alberta,2021-05-31,beta,149
British Columbia,2021-05-31,beta,130
Manitoba,2021-05-31,beta,34
New Brunswick,2021-05-31,beta,4
Newfoundland and Labrador,2021-05-31,beta,6
Northwest Territories,2021-05-31,beta,0
Nova Scotia,2021-05-31,beta,12
Nunavut,2021-05-31,beta,0
Ontario,2021-05-31,beta,947
Prince Edward Island,2021-05-31,beta,0
Quebec,2021-05-31,beta,378
Saskatchewan,2021-05-31,beta,10
Yukon,2021-05-31,beta,0
Canada,2021-05-31,beta,1670
Alberta,2021-05-31,gamma,2531
British Columbia,2021-05-31,gamma,5761
Manitoba,2021-05-31,gamma,108
New Brunswick,2021-05-31,gamma,1
Newfoundland and Labrador,2021-05-31,gamma,1
Northwest Territories,2021-05-31,gamma,0
Nova Scotia,2021-05-31,gamma,1
Nunavut,2021-05-31,gamma,0
Ontario,2021-05-31,gamma,2814
Prince Edward Island,2021-05-31,gamma,0
Quebec,2021-05-31,gamma,437
Saskatchewan,2021-05-31,gamma,144
Yukon,2021-05-31,gamma,1
Canada,2021-05-31,gamma,11799
Alberta,2021-05-31,delta,43
British Columbia,2021-05-31,delta,541
Manitoba,2021-05-31,delta,18
New Brunswick,2021-05-31,delta,0
Newfoundland and Labrador,2021-05-31,delta,1
Northwest Territories,2021-05-31,delta,0
Nova Scotia,2021-05-31,delta,0
Nunavut,2021-05-31,delta,0
Ontario,2021-05-31,delta,45
Prince Edward Island,2021-05-31,delta,2
Quebec,2021-05-31,delta,1
Saskatchewan,2021-05-31,delta,30
Yukon,2021-05-31,delta,0
